232,1,Weightlifting,Weightlifting Men's Middleweight,
232,20,Weightlifting,Weightlifting Men's Middleweight,
233,19,Synchronized Swimming,Synchronized Swimming Women's Team,
234,19,Athletics,"Athletics Men's 1,500 metres",
235,24,Football,Football Men's Football,
236,1,Weightlifting,Weightlifting Men's Light-Heavyweight,
236,20,Weightlifting,Weightlifting Men's Middle-Heavyweight,
237,9,Athletics,"Athletics Men's 5,000 metres",
238,21,Shooting,"Shooting Men's Air Rifle, 10 metres",
238,19,Shooting,"Shooting Men's Air Rifle, 10 metres",
239,20,Football,Football Men's Football,
240,20,Synchronized Swimming,Synchronized Swimming Women's Team,
241,1,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",
242,20,Judo,Judo Men's Extra-Lightweight,
243,1,Athletics,Athletics Men's Javelin Throw,
244,11,Gymnastics,Gymnastics Men's Individual All-Around,
244,11,Gymnastics,Gymnastics Men's Horse Vault,
244,11,Gymnastics,Gymnastics Men's Parallel Bars,
244,11,Gymnastics,Gymnastics Men's Rings,
244,11,Gymnastics,Gymnastics Men's Pommelled Horse,
245,19,Handball,Handball Men's Handball,
246,20,Volleyball,Volleyball Men's Volleyball,
247,10,Athletics,"Athletics Men's 5,000 metres",
248,4,Athletics,Athletics Men's 800 metres,
248,5,Athletics,Athletics Men's 800 metres,
249,19,Volleyball,Volleyball Women's Volleyball,
249,1,Volleyball,Volleyball Women's Volleyball,
250,1,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",
250,20,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
251,20,Athletics,"Athletics Men's 5,000 metres",
251,20,Athletics,"Athletics Men's 10,000 metres",
252,19,Athletics,"Athletics Men's 3,000 metres Steeplechase",
252,1,Athletics,"Athletics Men's 3,000 metres Steeplechase",
253,5,Athletics,"Athletics Men's 3,000 metres Steeplechase",
253,12,Athletics,"Athletics Men's 3,000 metres Steeplechase",
254,4,Athletics,"Athletics Men's 10,000 metres",
254,5,Athletics,Athletics Men's Marathon,
